surface,operation,name,handler,file,line,schema
MCP_STATIC,TOOL,bhm_health,bhm_health,src/blackholememory/bhm_mcp.py,309,n/a
MCP_STATIC,TOOL,bhm_health_slo,bhm_health_slo,src/blackholememory/bhm_mcp.py,319,n/a
MCP_STATIC,TOOL,bhm_diagnostics,bhm_diagnostics,src/blackholememory/bhm_mcp.py,341,n/a
MCP_STATIC,TOOL,bhm_preflight,bhm_preflight,src/blackholememory/bhm_mcp.py,346,n/a
MCP_STATIC,TOOL,bhm_search,bhm_search,src/blackholememory/bhm_mcp.py,361,n/a
MCP_STATIC,TOOL,bhm_context_compile,bhm_context_compile,src/blackholememory/bhm_mcp.py,389,n/a
MCP_STATIC,TOOL,bhm_explain_retrieval,bhm_explain_retrieval,src/blackholememory/bhm_mcp.py,425,n/a
MCP_STATIC,TOOL,bhm_memory_used,bhm_memory_used,src/blackholememory/bhm_mcp.py,462,n/a
MCP_STATIC,TOOL,bhm_get_memory,bhm_get_memory,src/blackholememory/bhm_mcp.py,474,n/a
MCP_STATIC,TOOL,bhm_list_memories,bhm_list_memories,src/blackholememory/bhm_mcp.py,482,n/a
MCP_STATIC,TOOL,bhm_update_memory,bhm_update_memory,src/blackholememory/bhm_mcp.py,498,n/a
MCP_STATIC,TOOL,bhm_archive_memory,bhm_archive_memory,src/blackholememory/bhm_mcp.py,524,n/a
MCP_STATIC,TOOL,bhm_forget_preview,bhm_forget_preview,src/blackholememory/bhm_mcp.py,532,n/a
MCP_STATIC,TOOL,bhm_forget_apply,bhm_forget_apply,src/blackholememory/bhm_mcp.py,556,n/a
MCP_STATIC,TOOL,bhm_search_advanced,bhm_search_advanced,src/blackholememory/bhm_mcp.py,584,n/a
MCP_STATIC,TOOL,bhm_recent_activity,bhm_recent_activity,src/blackholememory/bhm_mcp.py,623,n/a
MCP_STATIC,TOOL,bhm_upsert_memory,bhm_upsert_memory,src/blackholememory/bhm_mcp.py,641,n/a
MCP_STATIC,TOOL,bhm_get_memory_links,bhm_get_memory_links,src/blackholememory/bhm_mcp.py,667,n/a
MCP_STATIC,TOOL,bhm_link_memories,bhm_link_memories,src/blackholememory/bhm_mcp.py,672,n/a
MCP_STATIC,TOOL,bhm_unlink_memories,bhm_unlink_memories,src/blackholememory/bhm_mcp.py,691,n/a
MCP_STATIC,TOOL,bhm_crystallize,bhm_crystallize,src/blackholememory/bhm_mcp.py,704,n/a
MCP_STATIC,TOOL,bhm_checkpoint_create,bhm_checkpoint_create,src/blackholememory/bhm_mcp.py,730,n/a
MCP_STATIC,TOOL,bhm_checkpoint_list,bhm_checkpoint_list,src/blackholememory/bhm_mcp.py,762,n/a
MCP_STATIC,TOOL,bhm_checkpoint_get_latest,bhm_checkpoint_get_latest,src/blackholememory/bhm_mcp.py,777,n/a
MCP_STATIC,TOOL,bhm_project_map_get,bhm_project_map_get,src/blackholememory/bhm_mcp.py,785,n/a
MCP_STATIC,TOOL,bhm_project_resolve,bhm_project_resolve,src/blackholememory/bhm_mcp.py,790,n/a
MCP_STATIC,TOOL,bhm_project_retire,bhm_project_retire,src/blackholememory/bhm_mcp.py,795,n/a
MCP_STATIC,TOOL,bhm_project_map_upsert,bhm_project_map_upsert,src/blackholememory/bhm_mcp.py,817,n/a
MCP_STATIC,TOOL,bhm_merge_memories,bhm_merge_memories,src/blackholememory/bhm_mcp.py,853,n/a
MCP_STATIC,TOOL,bhm_detect_duplicates,bhm_detect_duplicates,src/blackholememory/bhm_mcp.py,866,n/a
MCP_STATIC,TOOL,bhm_detect_conflicts,bhm_detect_conflicts,src/blackholememory/bhm_mcp.py,878,n/a
MCP_STATIC,TOOL,bhm_memory_lint,bhm_memory_lint,src/blackholememory/bhm_mcp.py,890,n/a
MCP_STATIC,TOOL,bhm_delete_memory,bhm_delete_memory,src/blackholememory/bhm_mcp.py,901,n/a
MCP_STATIC,TOOL,bhm_get_memories_by_concept,bhm_get_memories_by_concept,src/blackholememory/bhm_mcp.py,906,n/a
MCP_STATIC,TOOL,bhm_get_memories_by_type,bhm_get_memories_by_type,src/blackholememory/bhm_mcp.py,914,n/a
MCP_STATIC,TOOL,bhm_set_memory_confidence,bhm_set_memory_confidence,src/blackholememory/bhm_mcp.py,922,n/a
MCP_STATIC,TOOL,bhm_pin_memory,bhm_pin_memory,src/blackholememory/bhm_mcp.py,927,n/a
MCP_STATIC,TOOL,bhm_vote_memory_quality,bhm_vote_memory_quality,src/blackholememory/bhm_mcp.py,932,n/a
MCP_STATIC,TOOL,bhm_unpin_memory,bhm_unpin_memory,src/blackholememory/bhm_mcp.py,937,n/a
MCP_STATIC,TOOL,bhm_list_pinned_memories,bhm_list_pinned_memories,src/blackholememory/bhm_mcp.py,942,n/a
MCP_STATIC,TOOL,bhm_adr_create,bhm_adr_create,src/blackholememory/bhm_mcp.py,950,n/a
MCP_STATIC,TOOL,bhm_adr_list,bhm_adr_list,src/blackholememory/bhm_mcp.py,978,n/a
MCP_STATIC,TOOL,bhm_adr_supersede,bhm_adr_supersede,src/blackholememory/bhm_mcp.py,986,n/a
MCP_STATIC,TOOL,bhm_handoff_create,bhm_handoff_create,src/blackholememory/bhm_mcp.py,991,n/a
MCP_STATIC,TOOL,bhm_handoff_list,bhm_handoff_list,src/blackholememory/bhm_mcp.py,1023,n/a
MCP_STATIC,TOOL,bhm_session_record_create,bhm_session_record_create,src/blackholememory/bhm_mcp.py,1031,n/a
